,adaptation,avg_isi,electrode_0_pa,f_i_curve_slope,fast_trough_t_long_square,fast_trough_t_ramp,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,has_burst,has_delay,has_pause,id,input_resistance_mohm,latency,peak_t_long_square,peak_t_ramp,peak_t_short_square,peak_v_long_square,peak_v_ramp,peak_v_short_square,rheobase_sweep_id,rheobase_sweep_number,ri,sag,seal_gohm,slow_trough_t_long_square,slow_trough_t_ramp,slow_trough_t_short_square,slow_trough_v_long_square,slow_trough_v_ramp,slow_trough_v_short_square,specimen_id,tau,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_t_long_square,threshold_t_ramp,threshold_t_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,thumbnail_sweep_id,trough_t_long_square,trough_t_ramp,trough_t_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vm_for_sag,vrest
220,0.0432236599634,101.972222222,19.6256257773,0.16260163396,0.088115,2.92144166667,0.0083025,-47.9375,-50.6250025431,-53.835940361,False,False,False,486183010,152.76072,45.4,0.0832,2.916505,0.00336,32.6562538147,34.5000025431,34.1562519073,486180648,31,180.62507818,0.0897268406395,2.36333056,0.118025,2.945915,0.51366875,-53.75,-56.739587148,-71.2500019073,486178939,23.145221708,90.0,72.9583333333,670.0,0.082785,2.91607,0.00300125,-34.71875,-36.9270833333,-46.5078144073,486180652,0.118025,2.945915,0.51366875,-53.75,-56.739587148,-71.2500019073,3.00014366304,2.70286516879,2.93900979828,-91.0000076294,-70.3282585144
221,0.00196876907164,118.630714286,6.35250012315,0.19287917735,0.481515,6.82709,0.008274,-49.6562538147,-50.90625,-55.4937530518,False,False,False,485577433,96.906576,66.365,0.47654,6.82551,0.003308,42.75,45.6875012716,43.7312507629,485576174,52,80.3125770658,0.183770326388,1.641645056,0.509815,6.85827833333,0.065203,-55.9375038147,-55.1458346049,-72.8812530518,485574832,13.2493195313,190.0,170.666666667,1170.0,0.476185,6.82517166667,0.00298,-41.78125,-40.8437525431,-49.0562538147,485576178,0.509815,6.85827833333,0.065203,-55.9375038147,-55.1458346049,-72.8812530518,2.9344541887,3.03863210895,2.9957876937,-80.65625,-71.4554865701
222,0.00747412994913,50.3344736842,-32.9306235058,0.262121219969,0.31611,6.09778333333,0.0084625,-46.1562538147,-47.2395846049,-58.677087148,False,False,False,482651235,213.415776,41.62,0.31142,6.09284833333,0.00348166666667,6.5,12.8854169846,6.94270849228,482650477,43,164.687542549,0.0103513130102,1.113099264,0.31749,6.10185833333,0.326191666667,-46.34375,-48.21875,-69.1302108765,482649712,9.49027369097,140.0,152.374994914,520.0,0.310735,6.09228666667,0.00301333333333,-29.6875019073,-30.8229179382,-36.4895852407,482650465,0.31749,6.10185833333,0.326191666667,-46.34375,-48.21875,-69.1302108765,2.69809822468,2.95737497888,2.04343355876,-87.5625,-68.8340130615
223,0.429715440527,203.98375,16.5749983183,0.0791291563217,0.047595,4.78085333333,0.008161,-53.3437538147,-51.1145846049,-59.3625030518,False,False,False,482446295,205.613552,17.23,0.04267,4.7775,0.003176,31.7812519073,24.2500006358,32.3062519073,482439238,41,199.218866345,0.0938858818449,1.544067584,0.057255,4.78335166667,0.358013,-54.2812538147,-51.1145858765,-72.9000030518,482435718,12.5791151146,70.0,119.499997457,330.0,0.04234,4.777025,0.002847,-43.78125,-35.5520833333,-47.3062530518,482439222,0.057255,4.78196166667,0.358013,-54.2812538147,-51.2083358765,-72.9000030518,3.10037811896,2.68875900525,3.1199797843,-93.71875,-72.1698567073
224,,58.92,-0.676874951488,0.304619546875,0.056705,9.73195,0.008235,-47.9062538147,-52.0312538147,-62.0062530518,,False,,474660249,130.61488,11.105,0.05332,9.727245,0.003256,18.6875019073,19.5,23.9187515259,474647668,50,109.843751001,0.0734514027718,1.496899072,0.05837,9.732475,0.793225,-47.5625038147,-52.1250038147,-68.13125,474637203,10.1204471244,310.0,243.249969482,660.0,0.052935,9.726835,0.002958,-32.375,-33.59375,-39.4250007629,474647672,0.056705,9.732475,0.793225,-47.9062538147,-52.1250038147,-68.13125,3.22240689124,3.29768336395,2.36810345042,-77.90625,-67.1482032776
225,0.382877382755,264.316666667,-19.5368755895,0.132682517107,0.11673,5.434795,0.008487,-40.84375,-45.3020858765,-47.4875022888,False,False,False,476565158,139.138,46.585,0.111835,5.429855,0.003526,22.0625,31.0416666667,20.9062511444,476561411,43,189.687539956,0.152853624706,1.908806272,0.143735,5.45377166667,0.413224,-50.9062538147,-52.1979179382,-75.7437530518,476550499,17.8120220967,110.0,135.833333333,949.999938965,0.11137,5.42941166667,0.003158,-30.90625,-33.2604166667,-31.1125019073,476561423,0.143735,5.45377166667,0.413224,-50.9062538147,-52.1979179382,-75.7437530518,2.51740696562,2.05902291773,2.20132786275,-95.65625,-75.408169395
226,0.0479778872438,50.6313888889,-91.8574938336,0.290534430231,0.0485,3.09718166667,0.0056625,-61.8125,-59.5625025431,-63.2395865122,False,False,False,475519235,254.30064,21.36,0.0478,3.09640666667,0.00350833333333,29.0000019073,28.6458346049,28.0208349228,475518513,33,188.749925724,0.0258399620068,2.842133504,0.052915,3.116725,0.377621666667,-54.9062538147,-56.6770858765,-77.2135467529,475517157,16.7551800907,90.0,77.5,430.000030518,0.047435,3.09602833333,0.00312833333333,-49.1875038147,-48.5416692098,-50.9427108765,475518517,0.0485,3.09718166667,0.377621666667,-61.8125,-59.5625025431,-77.2135467529,1.56737644627,1.61299789158,1.50889352275,-97.53125,-76.1265026439
227,,28.45,-6.48937500958,0.0339515333072,0.06366,,0.003895,-57.2812538147,,-60.4531288147,,False,,475028752,282.743424,21.585,0.062775,,0.003045,18.90625,,22.6406269073,475000136,40,330.62500886,0.148276385002,1.845023488,0.07086,,0.286415,-51.8125038147,,-62.4375038147,474980317,36.7947176233,30.0000019073,,330.0,0.062395,,0.00269,-36.6562538147,,-43.90625,475000140,0.06366,,0.286415,-57.2812538147,,-62.4375038147,1.25133760213,,1.44089703372,-102.218757629,-61.2278446621
228,0.100740400517,82.6481818182,3.05062507373,0.156762296984,0.06384,2.38461166667,0.008685,-46.96875,-49.395837148,-52.1750030518,False,False,False,473732966,296.802496,31.125,0.06105,2.37968,0.003708,22.8750019073,28.1562512716,24.3437511444,473661151,33,332.812465271,0.0624242536324,2.728809984,0.10316,2.41466666667,0.604686,-48.2187538147,-54.2812525431,-76.9000061035,473601979,26.959153881,70.0,59.4999987284,570.0,0.06047,2.37909166667,0.00318,-40.21875,-35.7812512716,-46.0375015259,473661155,0.10316,2.41466666667,0.604686,-48.2187538147,-54.2812525431,-76.9000061035,2.77629954589,2.35777291873,2.52843197709,-99.0000076294,-74.8910440717
229,0.0631417488634,87.37,-20.1050009974,0.186718756998,0.103925,3.57201833333,0.008376,-50.25,-47.1666704814,-53.5937522888,False,False,False,488468977,224.515216,41.19,0.09895,3.56703,0.003406,35.0,36.3333358765,34.3125015259,488467432,43,162.968713418,0.0421239622742,1.70821696,0.133325,3.60761833333,0.708844,-56.0625,-55.4166692098,-83.9250045776,488467273,19.0376766051,90.0,89.2083307902,740.0,0.09842,3.56643333333,0.002911,-41.5312538147,-38.3125,-50.6500015259,488467436,0.133325,3.60761833333,0.708844,-56.0625,-55.4166692098,-83.9250045776,3.5302821223,3.2549577193,3.47592507305,-99.46875,-83.6325239099
