,ef__upstroke_downstroke_ratio_long_square,ef__adaptation,ef__threshold_i_long_square,ef__tau,ef__avg_isi,ef__avg_firing_rate,ef__ri,ef__peak_t_ramp,ef__vrest,fast_trough_v_short_square,peak_v_short_square,height,ExIn,line_name
390,2.148063198,0.03617383,30.00000191,38.75157369,39.77447368,25.14175317,476.5624284,0.669135,-66.95238957,-57.7916692098,24.1354179382,81.927087148,I,Sst-IRES-Cre
391,2.120460288,0.262937555,70.0,36.28011681,160.955,6.212916654,320.5357906,2.128385,-70.04540873,-60.5312509537,12.1250002384,72.6562511921,I,Sst-IRES-Cre
392,2.118412585,0.579262892,70.0,20.30221231,246.9,4.050222762,167.9463196,4.236361667,-68.34013168,-61.8500038147,23.8625007629,85.7125045776,I,Sst-IRES-Cre
393,2.099248154,0.088059122,80.0,17.962298,80.40636364,12.43682657,262.8905296,4.07072,-73.16198839,-59.2250030518,40.3625007629,99.5875038147,I,Sst-IRES-Cre
394,2.094328217,0.003207964,150.0,13.64143398,50.37210526,19.85225741,98.34,6.715036667,-68.20271937,-56.4125030518,35.36875,91.7812530518,E,Rbp4-Cre_KL100
395,2.082211053,0.086023317,50.0,37.47253311,100.0938889,9.990619918,310.4687912,2.281595,-72.00273605,-60.703127861,6.74218773842,67.4453155994,I,Sst-IRES-Cre
396,2.081750378,0.027609968,50.0,19.66185578,58.398125,17.12383745,124.8437894,1.121965,-57.76828657,-63.820318222,18.7890634537,82.6093816757,I,Sst-IRES-Cre
397,2.079074458,0.006477523,130.0,19.36608971,15.22584615,65.67779484,245.3125,2.20584,-72.58281708,-63.9875007629,40.9937507629,104.981251526,I,Sst-IRES-Cre
398,2.07769606,0.041579961,40.0,14.86004596,9.3075,107.4402364,276.2500028,8.49425,-70.52570584,-57.7875038147,26.1375007629,83.9250045776,I,Htr3a-Cre_NO152
399,2.067313084,0.087258304,50.0,23.96317262,67.75321429,14.75944736,238.2812525,2.093845,-66.55571404,-58.8750030518,24.8812511444,83.7562541962,I,Sst-IRES-Cre
400,2.036198857,0.053238691,30.00000191,37.59843828,67.36285714,14.84497604,319.8662184,1.1590825,-64.98033829,-56.7500025431,28.8125019073,85.5625044504,I,Sst-IRES-Cre
402,2.019670086,0.148728704,120.0000076,24.52684103,36.50666667,27.39225712,186.7187136,5.092795,-71.58110942,-59.0750038147,19.4562507629,78.5312545776,I,Sst-IRES-Cre
405,2.010473518,0.134182159,40.0,36.19731893,28.2175,35.43900062,343.1250728,1.754295,-70.1564767,-60.7062507629,27.8812507629,88.5875015258,I,Sst-IRES-Cre
409,1.973528281,0.586460945,130.0,10.86789846,115.595,8.650893205,165.4687927,12.03458667,-69.45946954,-56.1437507629,37.2812515259,93.4250022888,I,Sst-IRES-Cre
411,1.960990565,0.251061542,90.0,10.40434083,140.15,7.135212273,153.2812417,5.2207,-70.6198349,-64.2562515259,35.6875015259,99.9437530518,I,Sst-IRES-Cre
412,1.935758431,0.048708825,170.0,13.74110591,118.3971429,8.446149762,147.6562543,6.180386667,-65.50342274,-56.2875038147,27.4875007629,83.7750045776,I,Sst-IRES-Cre
413,1.934570444,0.011450646,90.0,14.55648021,51.82277778,19.29653413,257.6562525,2.066953333,-66.219084,-62.5875030518,37.5062515259,100.093754578,I,Htr3a-Cre_NO152
