"","adaptation","avg_isi","f_i_curve_slope","fast_trough_t_long_square","fast_trough_t_ramp","fast_trough_t_short_square","fast_trough_v_long_square","fast_trough_v_ramp","fast_trough_v_short_square","input_resistance_mohm","latency","peak_t_long_square","peak_t_ramp","peak_t_short_square","peak_v_long_square","peak_v_ramp","peak_v_short_square","ri","sag","slow_trough_t_short_square","slow_trough_v_short_square","threshold_i_long_square","threshold_i_ramp","threshold_i_short_square","threshold_t_long_square","threshold_t_ramp","threshold_t_short_square","threshold_v_long_square","threshold_v_ramp","threshold_v_short_square","trough_t_long_square","trough_t_ramp","trough_t_short_square","trough_v_long_square","trough_v_ramp","trough_v_short_square","upstroke_downstroke_ratio_long_square","upstroke_downstroke_ratio_ramp","upstroke_downstroke_ratio_short_square","vm_for_sag","vrest","transgenic_line","reporter_status","height","binary_neuron","firing_rate"
"263",0.0235217354638565,65.4935714285714,0.219878048780488,1.20667,2.663435,1.02530333333333,-49.9375,-50.96875,-53.1822929382324,184.926912,0.0560200000000002,1.204295,2.66092666666667,1.02346166666667,42.5,44.3645858764648,44.7656262715658,196.874961256981,0.0152577310800552,1.45273333333333,-73.8958346048991,50,41,650,1.203895,2.66052333333333,1.02311083333333,-37.5937538146973,-36.9479166666667,-46.1458333333333,1.23051,2.68478666666667,1.45273333333333,-56.5000038146973,-56.28125,-73.8958346048991,4.13520298008773,4.39985141343124,4.42052621972629,-94.7187576293945,-73.4410629272461,"Rorb-IRES2-Cre","cre reporter positive",97.9479192097982,0,15.2686741337754
"269",0.00249241034067271,22.5242682926829,0.697302184475846,1.86291,10.706405,1.024045,-57.8125038146973,-58.6041679382324,-62.2109413146973,147.043344,0.062405,1.86217,10.705705,1.023345,13,21.6041679382324,21.0937504768372,106.40636831522,0.0415983870625496,1.36684125,-78.9609375,240.000015258789,242.124994913737,0,1.861885,10.7054116666667,1.02308875,-36.21875,-34.1875012715658,-42.1250009536743,1.862925,10.7064683333333,1.36684125,-57.9687538146973,-58.7291692097982,-78.9609375,1.32695477422044,1.25661200501408,1.35143242285189,-95.8437576293945,-79.3194808959961,"Pvalb-IRES-Cre","cre reporter positive",83.3046917915345,1,44.3965587252774
"275",0.0287486662833654,80.1609090909091,0.1875,1.25709,5.00073,1.025385,-44.8437538146973,-43.6250025431315,-49.5937519073486,110.627536,0.07257,1.254395,4.99862,1.0234475,29.8437519073486,36.3333346048991,31.2187519073486,129.687696695328,0.0590607635676861,1.6319925,-74.8593826293945,110,99.4583333333333,860.000061035156,1.2539,4.99816666666667,1.023055,-38.59375,-36.8958346048991,-42.59375,1.290045,5.04679666666667,1.6319925,-52.9062538146973,-51.6770858764648,-74.8593826293945,3.51973004805724,3.5683947220967,3.25268357751218,-89.0312576293945,-74.2785034179688,"Cux2-CreERT2","cre reporter positive",80.8125038146972,0,12.4749084228314
"280",0.0874282067645108,7.83499999999993,1.19048180898285,1.03089,17.5103125,1.02365,-65.15625,-58.0468769073486,-65.3187530517578,131.534336,0.00618500000000011,1.0304,17.5096275,1.02318,11.78125,3.82812523841858,21.5875003814697,91.7188674211502,0.0427062027156353,1.652679,-74.0625,320,412.25,570,1.030145,17.5093075,1.022973,-34.9687538146973,-31.2187509536743,-46.2187515258789,1.030895,17.5104,1.652679,-65.28125,-58.1250019073486,-74.0625,1.00869688928927,0.888078852064152,1.21518453344243,-83.7187576293945,-72.9193115234375,"Pvalb-IRES-Cre","cre reporter positive",86.9062534332275,1,127.632418634334
"286",0.0240650777895915,29.9925,0.524553571428572,1.07192,2.50259,1.02421333333333,-61.5937538146973,-60.4843788146973,-59.8958371480306,337.48256,0.0218400000000001,1.07094,2.50162,1.0233,29.4062519073486,33.7031288146973,33.8125025431315,230.468943715096,0.0809965506196022,1.56566,-72.4791692097982,50,36.9999990463257,499.999969482422,1.07056,2.50117,1.02296666666667,-44.4375,-51.1562519073486,-42.8645846048991,1.072,2.50268,1.56566,-61.65625,-60.5937519073486,-72.4791692097982,1.9454791284912,1.99197047395634,2.03203969503602,-98.4062576293945,-71.961540222168,"Chrna2-Cre_OE25","cre reporter positive",93.7083396911621,1,33.341668750521
"293",0.0880591216123092,80.4063636363637,0.353027541384258,1.073045,5.09411833333333,1.024517,-59.1250038146973,-57.2187525431315,-59.0937507629395,356.36832,0.0137450000000001,1.072195,5.09322,1.023631,36.59375,37.9895858764648,40.3625007629395,262.890517711639,0.0778369456529617,1.717196,-74.15,80,101.833330790202,340,1.071845,5.09283,1.023288,-45.3437538146973,-42.6770858764648,-48.5062538146973,1.073065,5.094165,1.717196,-59.2500038146973,-57.3541692097982,-74.15,2.08832255423817,1.95910417440425,2.12091022075957,-98.875,-73.1615219116211,"Sst-IRES-Cre","cre reporter positive",99.456251525879,1,12.4368265741065
"299",0.0649189348589349,91.3371428571429,0.186301381769177,1.080395,3.3602,1.024796,-47.8125038146973,-51.0208358764648,-52.2750015258789,228.0352,0.0307650000000002,1.078715,3.35851,1.023356,23.1562519073486,32.1458339691162,32.0875011444092,263.437449932098,0.0362643152475357,1.740169,-74.8562545776367,90,58.4166666666667,440,1.078225,3.35802333333333,1.022989,-33.59375,-34.1875,-47.0937522888184,1.08042,3.38436,1.740169,-47.9062538146973,-52.7500025431315,-74.8562545776367,2.39621090667168,2.43180274702506,3.08848794720137,-97.9062576293945,-73.1930770874023,"Rorb-IRES2-Cre","cre reporter positive",84.3625026702881,0,10.9484484484484
"306",0.00671348868104487,49.5721052631579,0.300396850031209,1.12163,5.48597166666667,1.02488125,-50.8125,-52.2916679382324,-53.5703153610229,228.97656,0.0195400000000001,1.118575,5.48148,1.0234075,20.2812519073486,23.7916685740153,29.7031264305115,213.28116953373,0.0271111633628607,1.24385125,-73.5781269073486,110,111.541656494141,509.999969482422,1.1181,5.48101833333333,1.02310625,-35.6875038146973,-35.1770833333333,-40.3906259536743,1.13039,5.49441166666667,1.24385125,-54.5937538146973,-55.4583358764648,-73.5781269073486,3.62133849013968,4.16383918285043,2.85735816638323,-95.875,-72.3847427368164,"Htr3a-Cre_NO152","cre reporter positive",83.2734417915344,1,20.1726352893711
"313",0.00146199087054021,13.2865753424658,0.692857121058861,1.10801,8.26136833333333,1.025415,-54.125,-56.0833358764648,-62.9375,177.478832,0.021245,1.106795,8.260235,1.023645,4.75000047683716,9.22916666666667,5.375,137.500002980232,0.0252450555562973,1.949235,-76.96875,210,181,0,1.106435,8.25986666666667,1.023355,-27.65625,-29.1250006357829,-44.9375038146973,1.108025,8.26145,1.949235,-54.21875,-56.2083346048991,-76.96875,1.32794366256187,1.28816347500095,1.65233018833272,-92,-76.2554244995117,"Pvalb-IRES-Cre","cre reporter positive",68.3125,1,75.2639392939621
"320",0.0166821998492038,60.035,0.246291560102302,1.26138,3.14339333333333,1.026684,-55.5000038146973,-53.8958346048991,-56.2625022888184,173.540128,0.03694,1.25842,3.14026666666667,1.02348,44.28125,46.1666679382324,40.2062522888184,241.562604904175,0.0302673820406199,1.77576,-77.51875,40,52.9999987284342,101.999993896484,1.25796,3.13980666666667,1.023076,-49.8125038146973,-48.0104192097982,-48.4937522888184,1.33028,3.18314666666667,1.77576,-63.5937538146973,-60.7604192097982,-77.5187515258789,5.344802578033,5.61428898511027,5.04095443346148,-101.343757629395,-76.6850128173828,"Ctgf-T2A-dgCre","cre reporter positive",96.4687545776368,0,16.6569501124344
"326",0.122768771465077,43.94,0.151253127281873,1.052765,3.61017833333333,1.030105,-46.25,-48.0937512715658,-60.2500006357829,363.180928,0.01753,1.049045,3.60717333333333,1.02338,25.75,44.9791679382324,31.9062503178914,205.758854746819,0.0131401903927326,1.38498833333333,-76.1510442097982,230,64.6666666666667,616.666666666667,1.04846,3.606715,1.02291916666667,-34.75,-33.8645846048991,-34.9479179382324,1.057425,3.62675666666667,1.38498833333333,-48.21875,-52.7187512715658,-76.1510442097982,3.61729895258657,4.26080981700346,3.59813870784751,-95.4375076293945,-75.3563003540039,"Scnn1a-Tg3-Cre","cre reporter positive",92.1562509536743,0,22.7583067819754
"332",0.00472531752435087,12.5802702702703,0.844981139469947,1.7741,20.7813533333333,1.024004,-60.1250038146973,-60.1770858764648,-66.00625,107.425568,0.0608200000000001,1.77342,20.7806533333333,1.02342,14.7187509536743,18.7604173024495,29.1500007629395,55.1562495529652,0.034227941185236,1.555728,-81.5937530517578,520,494.000010172526,0,1.77308,20.78032,1.023124,-39,-37.2083346048991,-52.4062538146973,1.77416,20.78138,1.555728,-60.2812538146973,-60.25,-81.5937530517578,1.28281784644514,1.20659145145467,1.28214227778747,-87.6250076293945,-81.5586090087891,"Pvalb-IRES-Cre","cre reporter positive",95.1562507629395,1,79.4895481985948
"339",-0.000706944546691596,44.6777272727273,0.92279533756504,1.449305,9.666005,1.02420583333333,-54.0625,-52.6354166666667,-58.2500006357829,222.154768,0.012065,1.44838,9.66511666666667,1.02334166666667,8,15.1562503178914,16.1041668256124,147.812500596046,0.0348414592444897,1.36242916666667,-71.3541704813639,190,216.083333333333,71.6666666666667,1.44804,9.664765,1.02306333333333,-33.1250038146973,-29.4895833333333,-39.7760423024495,1.449495,9.66609666666667,1.36242916666667,-54.25,-52.7708333333333,-71.3541704813639,1.28702791856459,1.25360045091157,1.46744263121144,-101.125,-70.9617233276367,"Pvalb-IRES-Cre","cre reporter positive",74.3541674613953,1,22.3825172192774
"344",0.0979197864960095,67.1592857142857,0.0200000078201297,1.05858,3.30494833333333,1.02514333333333,-48.25,-49.0625012715658,-52.7500012715658,210.964864,0.0196500000000002,1.0559,3.302935,1.02352166666667,35.40625,49.6770846048991,47.5,151.562497019768,0.0824915841221809,1.50902833333333,-73.2708333333333,190,57.0416679382324,0,1.05544,3.302535,1.02317166666667,-38.78125,-37.6041679382324,-44.5208333333333,1.06787,3.34561166666667,1.50902833333333,-50.5937538146973,-57.3020846048991,-73.2708333333333,3.66136832151455,4.16009729039956,4.00184455370721,-88.8125,-71.391845703125,"Rorb-IRES2-Cre","cre reporter positive",100.250001271566,0,14.8899737298321
"349",0.157901549081154,38.5333333333334,0.0308988764044944,1.05658,4.57231333333333,1.024964,-51.4687538146973,-46.9166692097982,-53.8875022888184,291.219424,0.0118,1.055,4.57062666666667,1.023276,33.6250038146973,26.8020846048991,29.5562511444092,193.437457084656,0.0550305172801018,1.367728,-72.3312545776367,80,88.75,320,1.0546,4.57012,1.022908,-42.3750038146973,-36.8854166666667,-46.8312515258789,1.05668,4.58758,1.367728,-51.53125,-48.2187525431315,-72.3312545776367,3.16120244790514,2.62715243447289,3.31398183484865,-92.8437576293945,-71.5591354370117,"Vip-IRES-Cre","cre reporter positive",83.4437534332276,1,25.9515570934256
"354",0.0295945765118845,73.8929166666667,0.198890327782073,1.088555,4.62002833333333,1.025077,-46,-47.6250038146973,-51.7937522888184,192.859488,0.0291750000000002,1.08654,4.61785666666667,1.02343,34,32.9583358764648,34.3375015258789,97.1873849630356,0.195660501718521,1.091027,-71.4875061035156,140,89.9166666666667,870,1.086055,4.61737833333333,1.023042,-39.7500038146973,-37.5416692097982,-48.0312530517578,1.1273,4.66024833333333,1.091027,-56,-57.3541692097982,-71.4875061035156,3.16396862775444,3.00469341427064,3.39470105796195,-81.9375076293945,-70.703239440918,"Rbp4-Cre_KL100","cre reporter positive",86.1312538146973,0,13.5330968800573
"360",0.205976048983304,69.66,0.0678571428571429,1.133495,4.001575,1.025276,-48.09375,-51,-50.5625007629395,206.043216,0.03454,1.13138,3.99956166666667,1.023423,42.2187538146973,46.0416704813639,45.3250022888184,151.562511920929,0.0181719250977039,1.682619,-77.7750015258789,130,74.4583333333333,180,1.13096,3.999165,1.023051,-37.5,-39.4895833333333,-48.9062522888184,1.16181,4.03690833333333,1.682619,-52.6250038146973,-57.7708358764648,-77.7750015258789,3.62132283055077,3.58369673731448,3.89266252824633,-91.96875,-76.6518173217773,"Nr5a1-Cre","cre reporter positive",95.8875030517579,0,14.3554407120299
"366",0.113440201825784,86.349,0.206060631588253,1.163575,5.10217666666667,1.02485,-43.8125038146973,-45.9166704813639,-46.7968769073486,95.065896,0.050605,1.16186,5.10037333333333,1.0234125,46.90625,49.1145858764648,47.9609394073486,146.406248211861,0.0493269562721252,1.64056,-77.9296913146973,110,102.041666666667,230,1.161445,5.099955,1.0230375,-37.71875,-37.1354204813639,-45.8281288146973,1.208845,5.13544333333333,1.64056,-51.375,-51.4895858764648,-77.9296913146973,3.61761814538654,3.73220854997893,3.77325650572315,-94.7187576293945,-77.6622772216797,"Rbp4-Cre_KL100","cre reporter positive",94.7578163146972,0,11.58091002791
"373",0.0112589502031591,95.0088888888889,0.152747249209409,1.25092,3.48384666666667,1.02594,-51.1875038146973,-52.7604192097982,-55.2291679382324,249.948128,0.0546200000000001,1.24742,3.48072,1.02361333333333,46.5,47.0729179382324,44.7708358764648,203.906327486038,0.0947432816028595,1.78088666666667,-71.8750025431315,90,61.5000025431315,0,1.24698,3.48028666666667,1.02323333333333,-42.9375038146973,-43.2500012715658,-47.375,1.28714,3.52321333333333,1.78088666666667,-56.9062538146973,-58.7604204813639,-71.8750025431315,4.98288455754513,4.82387475876423,4.41016020533869,-93.625,-71.2786102294922,"Ctgf-T2A-dgCre","cre reporter positive",100.000003814697,0,10.5253309631847
"379",0.0170265693289827,43.8488095238095,0.348888888888889,1.168905,3.22204666666667,1.02581166666667,-46.0625038146973,-45.3541692097982,-51.3437531789144,148.071152,0.0515700000000001,1.166515,3.220255,1.02331166666667,20.0625,32.1250012715658,24.5000006357829,208.281219005585,0.0155193535611033,1.65111833333333,-76.3177121480306,50,54.9999987284342,700,1.16604,3.21982166666667,1.02288833333333,-40.8125038146973,-36.2187512715658,-43.0208365122477,1.18338,3.253675,1.65111833333333,-50.2187538146973,-49.2604204813639,-76.3177121480306,2.95832148518944,3.09887688231406,2.90108081831858,-94.2812576293945,-74.9811172485352,"Scnn1a-Tg2-Cre","cre reporter positive",75.8437538146973,0,22.8056362501018
"385",0.0617952113888658,92.028,0.166977619063643,1.143035,5.14898833333333,1.02514125,-47.5000038146973,-47.6875012715658,-50.2734413146973,134.792592,0.04695,1.140325,5.14701,1.023455,42.6250038146973,45.8020858764648,45.7656269073486,162.34378516674,0.0409739390015602,1.481115,-74.1328163146973,90,103.166666666667,0,1.13992,5.14661833333333,1.02309625,-36.8125038146973,-36.2604192097982,-47.4375028610229,1.16707,5.18321666666667,1.481115,-53.28125,-56.0312538146973,-74.1328163146973,3.50487313390245,3.53865561259802,3.65020536916436,-91.15625,-73.3130340576172,"Cux2-CreERT2","cre reporter positive",96.0390682220459,0,10.8662580953623
"390",0.0537100687823655,135.660714285714,0.191477254850804,1.08648,7.47864,1.025665,-51.4375,-51.6979179382324,-59.1197942097982,168.74608,0.0309600000000001,1.08376,7.47622333333333,1.02348833333333,34.5625038146973,36.2604192097982,36.614585240682,119.374968111515,0.125625133514404,1.09608333333333,-80.1927108764648,230,161.416666666667,790,1.083255,7.47571333333333,1.0230575,-38.03125,-36.8437525431315,-51.958335240682,1.099085,7.500465,1.09608333333333,-54.5000038146973,-57.7812525431315,-80.1927108764648,2.94976247369108,2.53254300599565,2.6904092583307,-93.625,-79.4126281738281,"Ntsr1-Cre_GN220","cre reporter positive",95.7343794504802,0,7.37133078846915
"395",0.0123755954074587,51.88,0.280147737765466,1.13126,2.95779,1.024867,-47.46875,-48.1718769073486,-52.4500030517578,210.940528,0.0416800000000002,1.129405,2.95594,1.023203,40.5625038146973,43.1718769073486,39.2937515258789,191.718757152557,0.0411933287978172,1.433395,-69.2687545776367,70,48.375,450,1.12903,2.9555675,1.02287,-39.5,-39.7812519073486,-44.7375022888184,1.152485,2.9908825,1.433395,-50.9062538146973,-53.2343788146973,-69.2687545776367,3.69286340668917,3.85625576301856,3.54963134162705,-89.8750076293945,-67.5364532470703,"Rorb-IRES2-Cre","cre reporter positive",91.7437545776367,0,19.2752505782575
"402",0.00907719143355048,47.4734210526316,0.369432773109244,1.11545,3.426875,1.024497,-63.2499961853027,-62.6979179382324,-64.3000015258789,235.61712,0.03643,1.11442,3.425805,1.023462,36.0000038146973,38.2812512715658,38.7187507629395,236.249998211861,0.177934944629669,1.632856,-67.9812515258789,70,60.1250012715658,509.999969482422,1.114025,3.42538333333333,1.023099,-38.1875,-37.6875012715658,-40.2062507629395,1.11549,3.42693666666667,1.632856,-63.3750038146973,-62.8541679382324,-67.9812515258789,1.76415520251621,1.71416959107014,1.82454635060058,-94.0000076293945,-67.1558456420898,"Sst-IRES-Cre","cre reporter positive",103.018752288818,1,21.0644183171747
"408",0.00211392868004661,13.6835384615385,0.801547862699115,1.09125,8.397585,1.02412125,-55.8125038146973,-55.2500012715658,-59.0000028610229,225.53072,0.10541,1.09018,8.39659166666667,1.0233275,3.25,7.25000047683716,12.5078132152557,131.250381469727,0.0613858103752136,1.5244125,-66.7265663146973,190,184.416666666667,205,1.08983,8.39621666666667,1.0230425,-32.46875,-32.6875012715658,-45.2343759536743,1.09136,8.39769333333333,1.5244125,-55.9687538146973,-55.4062512715658,-66.7265663146973,1.17066504765197,1.21028931520428,1.45100035792454,-95.6875,-66.2035369873047,"Pvalb-IRES-Cre","cre reporter positive",71.5078160762786,1,73.0805122381748
"413",0.000457216917399045,12.4246835443038,0.472631675132694,1.035625,14.0142166666667,1.02434333333333,-60.59375,-54.8437512715658,-62.8125,153.387584,0.0104900000000001,1.034755,14.0128466666667,1.02338166666667,8.625,3.125,14.8125,87.4999985098839,0.0302831251174212,1.32383666666667,-80.5416666666667,350,324.833333333333,0,1.03436,14.01239,1.02309166666667,-34.46875,-28.3020839691162,-46.0104179382324,1.035705,14.014975,1.32383666666667,-60.6875,-55.3229166666667,-80.5416666666667,1.3276238321238,1.10962442664823,1.5761207327518,-90.53125,-79.72119140625,"Pvalb-IRES-Cre","cre reporter positive",77.625,1,80.4849472772655
"418",0.0185858153596055,42.7184090909091,0.215904945813588,1.13402,3.97983166666667,1.024417,-41.4375038146973,-41.1770858764648,-47.0625022888184,177.283872,0.0367300000000002,1.13225,3.97844,1.023263,33.90625,37.8854192097982,35.7187530517578,137.343794107437,0.029222859069705,1.589736,-77.7750015258789,90,73.9166666666667,850,1.131865,3.97808833333333,1.02296,-31.1562519073486,-29.1875012715658,-43.7000022888184,1.158625,4.01436166666667,1.589736,-49.4375,-49.4791692097982,-77.7750015258789,2.66898127633762,2.84366039875116,2.80134274165859,-94.34375,-76.8331451416016,"Scnn1a-Tg3-Cre","cre reporter positive",82.7812553405762,0,23.4091114646123
"424",0.0190160693201317,29.948125,0.696521724154683,1.118335,2.20775833333333,1.03151166666667,-58.9062538146973,-58.4895858764648,-59.1562525431315,441.202464,0.017455,1.117305,2.206655,1.03045833333333,25.6562519073486,29.5729173024495,27.9687512715658,380.781233310699,0.218152210116386,1.30766166666667,-69.7187525431315,29.9999980926514,29.625,300,1.11694,2.20626333333333,1.030115,-41.5312538146973,-39.5833358764648,-39.8958346048991,1.118435,2.20788666666667,1.30766166666667,-59.0625038146973,-58.6875012715658,-69.7187525431315,1.6689931708412,1.69030579443248,1.66107738416876,-98.65625,-69.4236221313477,"Chrna2-Cre_OE25","cre reporter positive",87.1250038146973,1,33.3910720621074
"429",0.0855565057872587,63.6685714285714,-0.00216535456888326,1.1692,2.12693333333333,1.025728,-57.8437538146973,-53.7812525431315,-56.5625022888184,225.907072,0.01692,1.16736,2.12499333333333,1.02364,31.6250019073486,34.7708358764648,35.5625007629395,226.406291127205,0.0353129655122757,1.726596,-73.3312545776367,20,27.625,249.999984741211,1.16682,2.12444,1.023136,-48.4375038146973,-43.2083358764648,-46.5750015258789,1.16984,2.12711333333333,1.726596,-58.2500038146973,-53.9583371480306,-73.3312545776367,2.60267890536342,2.62492478656118,2.82079882626488,-99.5312576293945,-73.7278823852539,"Vip-IRES-Cre","cre reporter positive",92.1250030517579,1,15.7063363848501
